fcm_04,fcm_05,fcm_06,fcm_07,fcm_08,ecc_name,rep_grade,rep_area,uid,is_unique
2,2,2,2,8,2-2-2-2-8,5,1107,1,TRUE
3,3,6,6,6,3-3-6-6-6,5,275,2,TRUE
1,1,5,1,1,1-1-5-1-1,5,134,3,TRUE
1,5,5,1,5,1-5-5-1-5,5,113,4,TRUE
2,1,1,7,2,2-1-1-7-2,5,80,5,TRUE
1,1,1,7,1,1-1-1-7-1,5,37,6,TRUE
4,4,3,5,4,4-4-3-5-4,5,10,7,TRUE
1,1,1,7,2,1-1-1-7-2,5,1,8,TRUE
2,NA,1,7,2,2-0-1-7-2,4,382,9,FALSE
NA,1,1,7,2,0-1-1-7-2,4,340,10,FALSE
1,1,1,7,NA,1-1-1-7-0,4,297,11,FALSE
2,2,2,2,NA,2-2-2-2-0,4,262,12,FALSE
1,1,NA,1,1,1-1-0-1-1,4,169,13,FALSE
1,1,1,NA,1,1-1-1-0-1,4,167,14,FALSE
4,NA,3,5,4,4-0-3-5-4,4,91,15,FALSE
2,2,NA,7,2,2-2-0-7-2,4,81,16,TRUE
1,5,5,1,NA,1-5-5-1-0,4,74,17,FALSE
3,3,6,6,NA,3-3-6-6-0,4,64,18,FALSE
1,NA,5,1,1,1-0-5-1-1,4,62,19,FALSE
1,5,5,NA,5,1-5-5-0-5,4,56,20,FALSE
4,5,3,5,NA,4-5-3-5-0,4,30,21,TRUE
3,3,NA,3,3,3-3-0-3-3,4,26,22,TRUE
NA,4,4,3,3,0-4-4-3-3,4,19,23,TRUE
2,2,2,NA,2,2-2-2-0-2,4,14,24,TRUE
3,3,6,NA,3,3-3-6-0-3,4,11,25,TRUE
4,4,3,NA,4,4-4-3-0-4,4,8,26,FALSE
3,3,NA,6,6,3-3-0-6-6,4,5,27,FALSE
4,4,NA,4,7,4-4-0-4-7,4,4,28,TRUE
1,1,5,NA,1,1-1-5-0-1,4,3,29,FALSE
4,4,4,NA,7,4-4-4-0-7,4,3,30,TRUE
3,NA,4,3,3,3-0-4-3-3,4,2,31,TRUE
1,1,5,1,NA,1-1-5-1-0,4,1,32,FALSE
4,4,4,3,NA,4-4-4-3-0,4,1,33,TRUE
1,NA,5,1,NA,1-0-5-1-0,3,433,34,FALSE
1,1,NA,NA,1,1-1-0-0-1,3,272,35,FALSE
2,2,2,NA,NA,2-2-2-0-0,3,232,36,FALSE
NA,1,1,7,NA,0-1-1-7-0,3,218,37,FALSE
2,2,NA,NA,2,2-2-0-0-2,3,206,38,FALSE
1,1,1,NA,NA,1-1-1-0-0,3,154,39,FALSE
3,3,6,NA,NA,3-3-6-0-0,3,149,40,FALSE
2,NA,NA,7,2,2-0-0-7-2,3,111,41,FALSE
4,NA,3,5,NA,4-0-3-5-0,3,108,42,FALSE
3,NA,NA,3,3,3-0-0-3-3,3,93,43,FALSE
1,5,5,NA,NA,1-5-5-0-0,3,61,44,FALSE
4,4,4,NA,NA,4-4-4-0-0,3,60,45,FALSE
NA,5,5,NA,5,0-5-5-0-5,3,52,46,FALSE
4,NA,NA,4,7,4-0-0-4-7,3,41,47,FALSE
NA,4,4,3,NA,0-4-4-3-0,3,35,48,FALSE
4,4,NA,NA,4,4-4-0-0-4,3,32,49,FALSE
NA,NA,4,3,3,0-0-4-3-3,3,30,50,FALSE
3,3,NA,NA,3,3-3-0-0-3,3,30,51,FALSE
NA,NA,1,7,2,0-0-1-7-2,3,19,52,FALSE
4,4,3,NA,NA,4-4-3-0-0,3,11,53,FALSE
4,5,3,NA,NA,4-5-3-0-0,3,11,54,FALSE
4,4,NA,NA,7,4-4-0-0-7,3,9,55,FALSE
1,1,NA,1,NA,1-1-0-1-0,3,7,56,FALSE
2,NA,1,7,NA,2-0-1-7-0,3,3,57,FALSE
4,5,NA,4,NA,4-5-0-4-0,3,3,58,TRUE
4,NA,3,NA,4,4-0-3-0-4,3,2,59,FALSE
4,5,NA,NA,5,4-5-0-0-5,3,2,60,TRUE
1,1,5,NA,NA,1-1-5-0-0,3,1,61,FALSE
1,5,NA,4,NA,1-5-0-4-0,3,1,62,TRUE
4,NA,NA,5,4,4-0-0-5-4,3,1,63,FALSE
1,1,NA,NA,NA,1-1-0-0-0,2,277,64,FALSE
2,2,NA,NA,NA,2-2-0-0-0,2,223,65,FALSE
4,4,NA,NA,NA,4-4-0-0-0,2,162,66,FALSE
NA,5,NA,NA,5,0-5-0-0-5,2,138,67,FALSE
NA,NA,NA,4,7,0-0-0-4-7,2,86,68,FALSE
3,3,NA,NA,NA,3-3-0-0-0,2,86,69,FALSE
1,NA,5,NA,NA,1-0-5-0-0,2,84,70,FALSE
4,5,NA,NA,NA,4-5-0-0-0,2,81,71,FALSE
1,NA,NA,1,NA,1-0-0-1-0,2,45,72,FALSE
4,NA,3,NA,NA,4-0-3-0-0,2,42,73,FALSE
NA,1,1,NA,NA,0-1-1-0-0,2,41,74,FALSE
NA,4,4,NA,NA,0-4-4-0-0,2,35,75,FALSE
2,NA,NA,NA,2,2-0-0-0-2,2,26,76,FALSE
NA,NA,1,7,NA,0-0-1-7-0,2,25,77,FALSE
NA,NA,NA,3,3,0-0-0-3-3,2,16,78,FALSE
3,NA,NA,NA,3,3-0-0-0-3,2,16,79,FALSE
4,NA,NA,4,NA,4-0-0-4-0,2,16,80,FALSE
NA,NA,4,3,NA,0-0-4-3-0,2,15,81,FALSE
4,NA,NA,NA,4,4-0-0-0-4,2,14,82,FALSE
NA,5,NA,4,NA,0-5-0-4-0,2,10,83,FALSE
1,5,NA,NA,NA,1-5-0-0-0,2,10,84,FALSE
4,NA,NA,5,NA,4-0-0-5-0,2,10,85,FALSE
NA,5,5,NA,NA,0-5-5-0-0,2,9,86,FALSE
NA,4,NA,3,NA,0-4-0-3-0,2,8,87,FALSE
2,NA,NA,7,NA,2-0-0-7-0,2,6,88,FALSE
3,NA,NA,NA,6,3-0-0-0-6,2,2,89,FALSE
4,NA,NA,NA,7,4-0-0-0-7,2,2,90,FALSE
1,NA,NA,4,NA,1-0-0-4-0,2,1,91,FALSE
2,NA,1,NA,NA,2-0-1-0-0,2,1,92,FALSE
3,NA,NA,3,NA,3-0-0-3-0,2,1,93,FALSE
1,NA,NA,NA,NA,1-0-0-0-0,1,414,94,FALSE
4,NA,NA,NA,NA,4-0-0-0-0,1,357,95,FALSE
NA,5,NA,NA,NA,0-5-0-0-0,1,261,96,FALSE
2,NA,NA,NA,NA,2-0-0-0-0,1,243,97,FALSE
3,NA,NA,NA,NA,3-0-0-0-0,1,120,98,FALSE
NA,NA,NA,4,NA,0-0-0-4-0,1,68,99,FALSE
NA,NA,4,NA,NA,0-0-4-0-0,1,64,100,FALSE
NA,4,NA,NA,NA,0-4-0-0-0,1,37,101,FALSE
NA,NA,NA,NA,7,0-0-0-0-7,1,26,102,FALSE
NA,NA,NA,3,NA,0-0-0-3-0,1,19,103,FALSE
NA,1,NA,NA,NA,0-1-0-0-0,1,18,104,FALSE
NA,NA,1,NA,NA,0-0-1-0-0,1,14,105,FALSE
NA,NA,NA,5,NA,0-0-0-5-0,1,1,106,FALSE
